sector,fiscal_year,total_apprehensions,mexican_apprehensions,other_than_mexican_apprehensions
big bend,2019,9637,3431,6206
blaine,2019,524,144,380
buffalo,2019,537,112,425
coastal border,2019,3585,977,2608
del rio,2019,57269,9241,48028
detroit,2019,1322,831,491
el centro,2019,35138,19269,15869
el paso,2019,182143,15183,166960
grand forks,2019,412,276,136
nationwide total,2019,859501,169536,689965
havre,2019,77,39,38
houlton,2019,52,27,25
laredo,2019,38378,26209,12169
livermore,2019,NA,NA,NA
miami,2019,1891,533,1358
new orleans,2019,1132,443,689
northern border,2019,4408,2101,2307
ramey,2019,562,1,561
rio grande valley,2019,339135,29840,309295
san diego,2019,58049,30796,27253
southwest border,2019,851508,166458,685050
spokane,2019,428,336,92
swanton,2019,1056,336,720
tucson,2019,63490,29194,34296
yuma,2019,68269,3295,64974
big bend,2018,8045,3411,4634
blaine,2018,359,70,289
buffalo,2018,384,140,244
coastal border,2018,3247,950,2297
del rio,2018,15833,7474,8359
detroit,2018,1930,1237,693
el centro,2018,29230,18781,10449
el paso,2018,31561,9402,22159
grand forks,2018,461,315,146
nationwide total,2018,404142,155452,248690
havre,2018,47,21,26
houlton,2018,52,7,45
laredo,2018,32641,22279,10362
livermore,2018,NA,NA,NA
miami,2018,2169,597,1572
new orleans,2018,798,353,445
northern border,2018,4316,2245,2071
ramey,2018,280,0,280
rio grande valley,2018,162262,31453,130809
san diego,2018,38591,27082,11509
southwest border,2018,396579,152257,244322
spokane,2018,347,282,65
swanton,2018,736,173,563
tucson,2018,52172,29786,22386
yuma,2018,26244,2589,23655
big bend,2017,6002,2656,3346
blaine,2017,288,51,237
buffalo,2017,447,154,293
coastal border,2017,3588,1027,2561
del rio,2017,13476,7320,6156
detroit,2017,1070,748,322
el centro,2017,18633,12821,5812
el paso,2017,25193,9856,15337
grand forks,2017,496,294,202
nationwide total,2017,310531,130454,180077
havre,2017,39,11,28
houlton,2017,30,0,30
laredo,2017,25460,17569,7891
livermore,2017,NA,NA,NA
miami,2017,2280,634,1646
new orleans,2017,920,392,528
northern border,2017,3027,1489,1538
ramey,2017,388,1,387
rio grande valley,2017,137562,29653,107909
san diego,2017,26086,19026,7060
southwest border,2017,303916,127938,175978
spokane,2017,208,141,67
swanton,2017,449,90,359
tucson,2017,38657,26329,12328
yuma,2017,12847,2708,10139
big bend,2016,6366,2728,3638
blaine,2016,271,40,231
buffalo,2016,226,82,144
coastal border,2016,4663,1040,3623
del rio,2016,23078,12953,10125
detroit,2016,716,504,212
el centro,2016,19448,14361,5087
el paso,2016,25634,13660,11974
grand forks,2016,505,352,153
nationwide total,2016,415816,192969,222847
havre,2016,43,12,31
houlton,2016,25,7,18
laredo,2016,36562,25337,11225
livermore,2016,NA,NA,NA
miami,2016,3205,652,2553
new orleans,2016,764,388,376
northern border,2016,2283,1169,1114
ramey,2016,694,0,694
rio grande valley,2016,186830,46334,140496
san diego,2016,31891,25380,6511
southwest border,2016,408870,190760,218110
spokane,2016,206,149,57
swanton,2016,291,23,268
tucson,2016,64891,46494,18397
yuma,2016,14170,3513,10657
big bend,2015,5031,2177,2854
blaine,2015,282,67,215
buffalo,2015,291,137,154
coastal border,2015,3158,668,2490
del rio,2015,19013,10874,8139
detroit,2015,637,427,210
el centro,2015,12820,11320,1500
el paso,2015,14495,10677,3818
grand forks,2015,789,563,226
nationwide total,2015,337117,188122,148995
havre,2015,64,46,18
houlton,2015,32,1,31
laredo,2015,35888,25766,10122
livermore,2015,NA,NA,NA
miami,2015,1752,273,1479
new orleans,2015,849,394,455
northern border,2015,2626,1437,1189
ramey,2015,557,1,556
rio grande valley,2015,147257,48173,99084
san diego,2015,26290,24269,2021
southwest border,2015,331333,186017,145316
spokane,2015,190,153,37
swanton,2015,341,43,298
tucson,2015,63397,48916,14481
yuma,2015,7142,3845,3297
big bend,2014,4096,3164,932
blaine,2014,272,58,214
buffalo,2014,741,294,447
coastal border,2014,3942,742,3200
del rio,2014,24255,10196,14059
detroit,2014,647,431,216
el centro,2014,14511,12511,2000
el paso,2014,12339,9904,2435
grand forks,2014,767,532,235
nationwide total,2014,486651,229178,257473
havre,2014,91,51,40
houlton,2014,45,5,40
laredo,2014,44049,26540,17509
livermore,2014,NA,NA,NA
miami,2014,2034,277,1757
new orleans,2014,950,465,485
northern border,2014,3338,1665,1673
ramey,2014,958,0,958
rio grande valley,2014,256393,63468,192925
san diego,2014,29911,27871,2040
southwest border,2014,479371,226771,252600
spokane,2014,269,219,50
swanton,2014,506,75,431
tucson,2014,87915,68870,19045
yuma,2014,5902,4247,1655
big bend,2013,3684,3174,510
blaine,2013,360,106,254
buffalo,2013,796,370,426
coastal border,2013,3162,653,2509
del rio,2013,23510,14005,9505
detroit,2013,650,479,171
el centro,2013,16306,15141,1165
el paso,2013,11154,10092,1062
grand forks,2013,469,337,132
nationwide total,2013,420789,267734,153055
havre,2013,88,62,26
houlton,2013,37,1,36
laredo,2013,50749,32772,17977
livermore,2013,NA,NA,NA
miami,2013,1738,388,1350
new orleans,2013,500,262,238
northern border,2013,3230,1672,1558
ramey,2013,924,3,921
rio grande valley,2013,154453,57624,96829
san diego,2013,27496,26223,1273
southwest border,2013,414397,265409,148988
spokane,2013,299,237,62
swanton,2013,531,80,451
tucson,2013,120939,101092,19847
yuma,2013,6106,5286,820
big bend,2012,3964,3417,547
blaine,2012,537,270,267
buffalo,2012,1143,607,536
coastal border,2012,3685,1108,2577
del rio,2012,21720,12404,9316
detroit,2012,950,673,277
el centro,2012,23916,22511,1405
el paso,2012,9678,8915,763
grand forks,2012,418,306,112
nationwide total,2012,364768,265755,99013
havre,2012,102,54,48
houlton,2012,41,8,33
laredo,2012,44872,31742,13130
livermore,2012,NA,NA,NA
miami,2012,2509,831,1678
new orleans,2012,474,277,197
northern border,2012,4210,2306,1904
ramey,2012,702,0,702
rio grande valley,2012,97762,47823,49939
san diego,2012,28461,27307,1154
southwest border,2012,356873,262341,94532
spokane,2012,317,266,51
swanton,2012,702,122,580
tucson,2012,120000,102303,17697
yuma,2012,6500,5919,581
big bend,2011,4036,3621,415
blaine,2011,591,314,277
buffalo,2011,2114,938,1176
coastal border,2011,6552,2429,4123
del rio,2011,16144,11697,4447
detroit,2011,1531,1031,500
el centro,2011,30191,29474,717
el paso,2011,10345,9633,712
grand forks,2011,468,294,174
nationwide total,2011,340252,286154,54098
havre,2011,270,167,103
houlton,2011,41,5,36
laredo,2011,36053,29131,6922
livermore,2011,NA,NA,NA
miami,2011,4401,1529,2872
new orleans,2011,1509,897,612
northern border,2011,6123,3145,2978
ramey,2011,642,3,639
rio grande valley,2011,59243,38353,20890
san diego,2011,42447,41281,1166
southwest border,2011,327577,280580,46997
spokane,2011,293,234,59
swanton,2011,815,162,653
tucson,2011,123285,111974,11311
yuma,2011,5833,5416,417
big bend,2010,5288,4754,534
blaine,2010,673,376,297
buffalo,2010,2422,1143,1279
coastal border,2010,8220,3780,4440
del rio,2010,14694,10593,4101
detroit,2010,1669,1196,473
el centro,2010,32562,31704,858
el paso,2010,12251,11194,1057
grand forks,2010,543,388,155
nationwide total,2010,463382,404365,59017
havre,2010,290,184,106
houlton,2010,56,6,50
laredo,2010,35287,27957,7330
livermore,2010,NA,NA,NA
miami,2010,4651,1837,2814
new orleans,2010,3171,1941,1230
northern border,2010,7431,3766,3665
ramey,2010,398,2,396
rio grande valley,2010,59766,40732,19034
san diego,2010,68565,67259,1306
southwest border,2010,447731,396819,50912
spokane,2010,356,316,40
swanton,2010,1422,157,1265
tucson,2010,212202,195921,16281
yuma,2010,7116,6705,411
big bend,2009,6360,5573,787
blaine,2009,843,524,319
buffalo,2009,2672,1314,1358
coastal border,2009,8370,4128,4242
del rio,2009,17082,12820,4262
detroit,2009,1157,881,276
el centro,2009,33521,32602,919
el paso,2009,14999,13887,1112
grand forks,2009,472,311,161
nationwide total,2009,556041,503386,52655
havre,2009,283,208,75
houlton,2009,59,10,49
laredo,2009,40569,31831,8738
livermore,2009,NA,NA,NA
miami,2009,4425,1857,2568
new orleans,2009,3527,2269,1258
northern border,2009,6806,3676,3130
ramey,2009,418,2,416
rio grande valley,2009,60989,45051,15938
san diego,2009,118721,117227,1494
southwest border,2009,540865,495582,45283
spokane,2009,277,260,17
swanton,2009,1043,168,875
tucson,2009,241673,230045,11628
yuma,2009,6951,6546,405
big bend,2008,5391,4756,635
blaine,2008,954,643,311
buffalo,2008,3339,1618,1721
coastal border,2008,10895,4487,6408
del rio,2008,20761,14916,5845
detroit,2008,961,664,297
el centro,2008,40961,40159,802
el paso,2008,30312,29137,1175
grand forks,2008,541,361,180
nationwide total,2008,723825,661766,62059
havre,2008,427,379,48
houlton,2008,81,12,69
laredo,2008,43658,34403,9255
livermore,2008,NA,NA,NA
miami,2008,6020,1564,4456
new orleans,2008,4303,2923,1380
northern border,2008,7925,4244,3681
ramey,2008,572,0,572
rio grande valley,2008,75473,55401,20072
san diego,2008,162390,160818,1572
southwest border,2008,705005,653035,51970
spokane,2008,340,296,44
swanton,2008,1282,271,1011
tucson,2008,317696,305429,12267
yuma,2008,8363,8016,347
big bend,2007,5536,5002,534
blaine,2007,749,518,231
buffalo,2007,2191,1271,920
coastal border,2007,11686,4245,7441
del rio,2007,22920,16286,6634
detroit,2007,902,686,216
el centro,2007,55883,55271,612
el paso,2007,75464,72293,3171
grand forks,2007,497,334,163
nationwide total,2007,876704,808688,68016
havre,2007,486,409,77
houlton,2007,95,17,78
laredo,2007,56714,44831,11883
livermore,2007,NA,NA,NA
miami,2007,7120,1612,5508
new orleans,2007,4018,2633,1385
northern border,2007,6380,3809,2571
ramey,2007,548,0,548
rio grande valley,2007,73430,51975,21455
san diego,2007,152460,151140,1320
southwest border,2007,858638,800634,58004
spokane,2007,341,290,51
swanton,2007,1119,284,835
tucson,2007,378239,366456,11783
yuma,2007,37992,37380,612
big bend,2006,7520,6791,729
blaine,2006,811,485,326
buffalo,2006,1517,959,558
coastal border,2006,10521,3458,7063
del rio,2006,42636,30361,12275
detroit,2006,1281,944,337
el centro,2006,61465,60723,742
el paso,2006,122256,117532,4724
grand forks,2006,518,383,135
nationwide total,2006,1089092,981066,108026
havre,2006,568,511,57
houlton,2006,175,58,117
laredo,2006,74840,59146,15694
livermore,2006,NA,NA,NA
miami,2006,6032,1616,4416
new orleans,2006,3053,1840,1213
northern border,2006,6599,3789,2810
ramey,2006,1436,2,1434
rio grande valley,2006,110528,58282,52246
san diego,2006,142104,140821,1283
southwest border,2006,1071972,973819,98153
spokane,2006,185,108,77
swanton,2006,1544,341,1203
tucson,2006,392074,382610,9464
yuma,2006,118549,117553,996
big bend,2005,10536,9568,968
blaine,2005,1001,506,495
buffalo,2005,400,221,179
coastal border,2005,10336,3415,6921
del rio,2005,68506,37276,31230
detroit,2005,1793,1327,466
el centro,2005,55722,54770,952
el paso,2005,122679,117780,4899
grand forks,2005,754,580,174
nationwide total,2005,1189075,1023905,165170
havre,2005,948,807,141
houlton,2005,233,76,157
laredo,2005,75346,54553,20793
livermore,2005,114,106,8
miami,2005,7245,2325,4920
new orleans,2005,1358,983,375
northern border,2005,7343,4081,3262
ramey,2005,1619,1,1618
rio grande valley,2005,134186,54332,79854
san diego,2005,126904,124947,1957
southwest border,2005,1171396,1016409,154987
spokane,2005,279,173,106
swanton,2005,1935,391,1544
tucson,2005,439079,426416,12663
yuma,2005,138438,136767,1671
big bend,2004,10530,9736,794
blaine,2004,1354,759,595
buffalo,2004,671,240,431
coastal border,2004,11154,6043,5111
del rio,2004,53794,43931,9863
detroit,2004,1912,1353,559
el centro,2004,74467,73741,726
el paso,2004,104399,100842,3557
grand forks,2004,1225,1011,214
nationwide total,2004,1160395,1085006,75389
havre,2004,986,844,142
houlton,2004,263,89,174
laredo,2004,74706,62220,12486
livermore,2004,1850,1753,97
miami,2004,4602,2007,2595
new orleans,2004,2889,2280,609
northern border,2004,9959,5495,4464
ramey,2004,1813,3,1810
rio grande valley,2004,92947,66521,26426
san diego,2004,138608,136847,1761
southwest border,2004,1139282,1073468,65814
spokane,2004,847,742,105
swanton,2004,2701,457,2244
tucson,2004,491771,482990,8781
yuma,2004,98060,96640,1420
big bend,2003,10319,9477,842
blaine,2003,1380,754,626
buffalo,2003,564,218,346
coastal border,2003,16335,10215,6120
del rio,2003,50145,45779,4366
detroit,2003,2345,1672,673
el centro,2003,92099,91116,983
el paso,2003,88816,86097,2719
grand forks,2003,1223,1009,214
nationwide total,2003,931557,882012,49545
havre,2003,1406,1153,253
houlton,2003,292,52,240
laredo,2003,70521,62734,7787
livermore,2003,3565,3382,183
miami,2003,5931,2481,3450
new orleans,2003,5151,4352,799
northern border,2003,10157,5947,4210
ramey,2003,1688,0,1688
rio grande valley,2003,77749,62830,14919
san diego,2003,111515,109919,1596
southwest border,2003,905065,865850,39215
spokane,2003,992,839,153
swanton,2003,1955,250,1705
tucson,2003,347263,341971,5292
yuma,2003,56638,55927,711
big bend,2002,11392,10321,1071
blaine,2002,1732,1059,673
buffalo,2002,1102,421,681
coastal border,2002,15014,10137,4877
del rio,2002,66985,64169,2816
detroit,2002,1511,1125,386
el centro,2002,108273,107411,862
el paso,2002,94154,91655,2499
grand forks,2002,1369,1068,301
nationwide total,2002,955310,917993,37317
havre,2002,1463,1199,264
houlton,2002,432,49,383
laredo,2002,82095,77815,4280
livermore,2002,4371,4186,185
miami,2002,5143,1825,3318
new orleans,2002,4665,4126,539
northern border,2002,10487,6095,4392
ramey,2002,835,0,835
rio grande valley,2002,89927,78588,11339
san diego,2002,100681,99551,1130
southwest border,2002,929809,901761,28048
spokane,2002,1142,1006,136
swanton,2002,1736,168,1568
tucson,2002,333648,329991,3657
yuma,2002,42654,42260,394
big bend,2001,12087,11107,980
blaine,2001,2089,1214,875
buffalo,2001,1434,850,584
coastal border,2001,18158,11213,6945
del rio,2001,104875,100265,4610
detroit,2001,2106,1772,334
el centro,2001,172852,171866,986
el paso,2001,112857,110679,2178
grand forks,2001,921,755,166
nationwide total,2001,1266214,1224046,42167
havre,2001,1305,1153,152
houlton,2001,685,300,385
laredo,2001,87068,82460,4608
livermore,2001,5211,5007,204
miami,2001,5962,1590,4372
new orleans,2001,5033,4616,417
northern border,2001,12338,7444,4894
ramey,2001,1952,0,1952
rio grande valley,2001,107844,95286,12557
san diego,2001,110075,109281,794
southwest border,2001,1235718,1205389,30328
spokane,2001,1335,1252,83
swanton,2001,2463,148,2315
tucson,2001,449675,446471,3204
yuma,2001,78385,77974,411
big bend,2000,13689,12851,838
blaine,2000,2581,1560,1021
buffalo,2000,1570,978,592
coastal border,2000,20651,14440,6211
del rio,2000,157178,150467,6711
detroit,2000,2057,1634,423
el centro,2000,238126,236346,1780
el paso,2000,115696,114299,1397
grand forks,2000,562,373,189
nationwide total,2000,1676438,1636883,39555
havre,2000,1568,1375,193
houlton,2000,489,135,354
laredo,2000,108973,105637,3336
livermore,2000,6205,6034,171
miami,2000,6237,2421,3816
new orleans,2000,6478,5985,493
northern border,2000,12108,7362,4746
ramey,2000,1731,0,1731
rio grande valley,2000,133243,122501,10742
san diego,2000,151681,150599,1082
southwest border,2000,1643679,1615081,28598
spokane,2000,1324,1205,119
swanton,2000,1957,102,1855
tucson,2000,616346,614145,2201
yuma,2000,108747,108236,511
